year,country,ccode,mk_location_ever,mk_responsible_ever,mk_ongoing,widetargeting,narrowtargeting,candidaterestriction,partyban,judicialreform,religiousfreedom,freediscussion,ses_power_dist,pol_killing_approved,freemove_men4,freemove_women4,social_inequality,even_civilrights,repress_civilsoc,social_power_dist,minorityrule,reg.eap,reg.afr,reg.eur,reg.mna,reg.sca,ios.iccpr1,elf.ethnic,countryage.ln,battledeaths.ln,includesnonstate,popsize.ln.combined,imr.sqrt,gdppcgrowth.combined,coup.try.5yr,tradeshare.ln.combined,womeninparliament,efindex,discrimpop,ldiscrimpop,v2cldmovem_ord,v2cldmovew_ord,v2clkill_ord,v2clsocgrp_ord,v2clrgunev_ord,v2csreprss_ord,v2pepwrsoc_ord,v2elrstrct,v2psparban_ord,v2psoppaut_ord,v2jureform_ord,v2clrelig_ord,v2xcl_disc,v2pepwrses_ord,v2pepwrses,e_mipopula,e_cow_exports,e_cow_imports,v2csgender_ord,v2pepwrgen_ord,popsize,popsize.ln,v2mecenefm_ord,partyban.new,v2csgender_binary,v2mecenefm_binary,e_migdppc,e_migdpgro,tradeshare,tradeshare.ln,gdppcgrowth,wdi.trade.new,wdi.gdppc.new,wdi.gdppcgrow.new,wdi.popsize.new,wdi.imrate.new,wdi.trade.ln.new,wdi.popsize.ln,popsize.combined,battledeaths,datastartyear,countryage,anymk.ever,anymk.ongoing
1970,Germany,255,0,0,0,0,0,1,4,1,4,0.905,2.232,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.60517018598809,0,0,18.1694355132773,4.70106370941726,0.04,0,-3.04151597412593,0,0.1,0,0,4,4,4,4,2,4,4,1,4,4,1,4,0.905,3,2.232,77783.16,34230,29956,4,2,77783160,18.1694355132773,4,2,0,0,17277,0.04,0.0477624279781775,-3.04151597412593,0.04,31.7107087065897,17894.2966855025,,78169289,22.1,3.45665443792491,18.1743874045942,77783160,0,1934,99,0,0
1971,Germany,255,0,0,0,0,0,1,4,1,4,0.905,2.232,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.61512051684126,0,0,18.1700970571863,4.62601340248815,0.02,0,-2.93024456129929,0,0.102,0,0,4,4,4,4,2,4,4,1,4,4,1,4,0.905,3,2.232,77834.634,38966,34401,4,2,77834634,18.1700970571863,4,2,0,0,17657,0.02,0.0533839808928842,-2.93024456129929,0.02,30.8437604701513,18421.0421814761,3.13269973811248,78312842,21.4,3.42893447609149,18.1762221577299,77834634,0,1934,100,0,0
1972,Germany,255,0,0,0,0,0,1,4,1,4,0.905,2.232,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.62497281328427,0,0,18.1707581637442,4.53872228716409,0.04,0,-2.79499603455691,0,0.103,0,0,4,4,4,4,2,4,4,1,4,4,1,4,0.905,3,2.232,77886.108,46732,40381.1,4,2,77886108,18.1707581637442,4,2,0,0,18301,0.04,0.0611151166806251,-2.79499603455691,0.04,30.7327137062479,19121.4978922895,4.30034133420232,78688452,20.6,3.42532768028928,18.1810069681865,77886108,0,1934,101,0,0
1973,Germany,255,0,0,0,0,0,1,4,1,4,0.905,2.232,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.63472898822964,0,0,18.1714188335291,4.43846820423443,0.04,0,-2.49605727647375,0,0.105,0,0,4,4,4,4,2,4,4,1,4,4,1,4,0.905,3,2.232,77937.582,67600,54908.1,4,2,77937582,18.1714188335291,4,2,0,0,19074,0.04,0.082409275926925,-2.49605727647375,0.04,31.7032168786672,19972.0254072346,4.77748689217385,78936666,19.7,3.45641815455692,18.1841563926985,77937582,0,1934,102,0,0
1974,Germany,255,0,0,0,0,0,1,4,1,4,0.905,2.232,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.64439089914137,0,0,18.1720790671175,4.33589667773576,0.01,0,-2.24521368712643,0,0.107,0,0,4,4,4,4,2,4,4,1,4,4,1,4,0.905,3,2.232,77989.056,89210,69602.2,4,2,77989056,18.1720790671175,4,2,0,0,19228,0.01,0.105904907440103,-2.24521368712643,0.01,36.9529209561801,20141.9394753194,0.890068740587211,78967433,18.8,3.60964469585789,18.1845460849305,77989056,0,1934,103,0,0
1975,Germany,255,0,0,0,0,0,1,4,1,4,0.905,2.232,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.65396035015752,0,0,18.1727388650852,4.20713679359253,0,0,-2.20571513553244,0,0.108,0,0,4,4,4,4,2,4,4,1,4,4,1,4,0.905,3,2.232,78040.53,90099,74919.7,4,2,78040530,18.1727388650852,4,2,0,0,19193,0,0.110171709421747,-2.20571513553244,0,35.9068477988722,20041.9479922639,-0.866738894227723,78673554,17.7,3.58092802379113,18.1808176213369,78040530,0,1934,104,0,0
1976,Germany,255,0,0,0,0,0,1,4,1,4,0.905,2.232,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.66343909411207,0,0,18.1733982280065,4.07430975749267,0.05,0,-2.11711799809805,0,0.11,0,0,4,4,4,4,2,4,4,1,4,4,1,4,0.905,3,2.232,78092.004,101920.6,88140,4,2,78092004,18.1733982280065,4,2,0,0,20218,0.05,0.120378058859797,-2.11711799809805,0.05,38.3701405541903,21124.2556950912,4.94925837665457,78336950,16.6,3.64727956737934,18.1765299525873,78092004,0,1934,105,0,0
1977,Germany,255,0,0,0,0,0,1,4,1,4,0.905,2.232,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.67282883446191,0,0,18.1740571564548,3.93700393700591,0.03,0,-2.00430373369858,0,0.112,0,0,4,4,4,4,2,4,4,1,4,4,1,4,0.905,3,2.232,78143.478,117998.1,101418.7,4,2,78143478,18.1740571564548,4,2,0,0,20837,0.03,0.134754087769879,-2.00430373369858,0.03,38.1039605229245,21880.8076281356,3.34721812001672,78159814,15.5,3.64031822746308,18.1742661859621,78143478,0,1934,106,0,0
1978,Germany,255,0,0,0,0,0,1,4,1,4,0.948,2.232,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.68213122712422,0,0,18.1747156510023,3.79473319220206,0.03,0,-1.84731390129189,0,0.113,0,0,4,4,4,4,2,4,4,1,4,4,1,4,0.948,3,2.232,78194.952,142598.7,121804.7,4,2,78194952,18.1747156510023,4,2,0,0,21447,0.03,0.157660088614166,-1.84731390129189,0.03,37.1805928204973,22558.714790358,3.00849285673846,78091820,14.4,3.61578692677343,18.1733958718086,78194952,0,1934,107,0,0
1979,Germany,255,0,0,0,0,0,1,4,1,4,0.948,2.232,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.69134788222914,0,0,18.17537371222,3.67423461417477,0.04,0,-1.65989815453299,0,0.115,0,0,4,4,4,4,2,4,4,1,4,4,1,4,0.948,3,2.232,78246.426,172045.7,159835.1,4,2,78246426,18.17537371222,4,2,0,0,22305,0.04,0.190158345880888,-1.65989815453299,0.04,39.224573364244,23484.5991918307,4.15036334066737,78126350,13.5,3.66930342193137,18.1738379458715,78246426,0,1934,108,0,0
1980,Germany,255,0,0,0,0,0,1,4,1,4,0.948,2.232,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.70048036579242,0,0,18.176031340678,3.54964786985977,0.01,0,-1.53150450488516,0,0.117,0,0,4,4,4,4,2,4,4,1,4,4,1,4,0.948,3,2.232,78297.9,192843.4,188003.8,4,2,78297900,18.176031340678,4,2,0,0,22497,0.01,0.216210133291888,-1.53150450488516,0.01,41.854070791428,23766.107651563,1.40882863572145,78288576,12.6,3.73418906320683,18.1759122499334,78297900,0,1934,109,0,0
1981,Germany,255,0,0,0,0,0,1,4,1,4,0.948,1.723,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.70953020131233,0,0,18.1774129133675,3.43511280746353,0,0,-1.6489298380999,0,0.119,0,0,4,4,4,4,2,4,4,1,4,4,1,4,0.948,3,1.723,78406.149,176072.5,163891.8,4,2,78406149,18.1774129133675,4,2,0,0,22553,0,0.192255543127359,-1.6489298380999,0,44.1831226459558,23855.5258569738,0.529240556536067,78407907,11.8,3.78834287557474,18.177435334827,78406149,0,1934,110,0,0
1982,Germany,255,0,0,0,0,0,1,4,1,4,0.948,1.723,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.71849887129509,0,0,18.1787925799471,3.3166247903554,-0.01,0,-1.66694628062104,0,0.12,0,0,4,4,4,4,2,4,4,1,4,4,1,4,0.948,3,1.723,78514.398,176418.2,155372.2,4,2,78514398,18.1787925799471,4,2,0,0,22380,-0.01,0.188822797966202,-1.66694628062104,-0.01,44.3878637812521,23783.9454870064,-0.394840774795966,78333366,11,3.79296609381438,18.1764842004615,78514398,0,1934,111,0,0
1983,Germany,255,0,0,0,0,0,1,4,1,4,0.948,1.723,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.72738781871234,0,0,18.180170345669,3.22490309931942,0.02,0,-1.71750237776486,0,0.122,0,0,4,4,4,4,2,4,4,1,4,4,1,4,0.948,3,1.723,78622.647,169423.8,152936.8,4,2,78622647,18.180170345669,4,2,0,0,22840,0.02,0.179513946487132,-1.71750237776486,0.02,43.5755726577335,24221.3403747435,1.57241016952116,78128282,10.4,3.7744967332069,18.1738626747385,78622647,0,1934,112,0,0
