"","country","risk_1or2.from2022","risk_rank.from2022","risk_1or2.alt","risk_rank.alt","risk_1or2.noprev","risk_rank.noprev"
"108","Japan",0.0015,108,0.0028,102,0.0015,108
"109","Dominican Republic",0.0014,109,0.0025,104,0.0014,109
"110","Chile",0.0014,110,0.0021,112,0.0014,110
"111","Kazakhstan",0.0013,111,0.0025,106,0.0013,111
"112","United Kingdom",0.0012,112,0.0017,121,0.0013,112
"113","Australia",0.0012,113,0.002,113,0.0012,113
"114","Spain",0.0011,114,0.0014,127,0.0012,114
"115","Botswana",0.0011,115,0.0022,110,0.0011,115
"116","Trinidad and Tobago",0.0011,116,0.0018,118,0.0011,116
"117","Lesotho",0.0011,117,0.0022,109,0.0011,117
"118","Germany",0.0011,118,0.0015,125,0.0011,118
"119","Tunisia",0.0011,119,0.0017,120,0.0011,119
"120","France",0.0011,120,0.0015,124,0.0011,120
"121","Gambia",0.001,121,0.0019,116,0.001,121
"122","Italy/Sardinia",9e-04,122,0.0013,129,0.001,122
"123","East Timor",9e-04,123,0.002,115,0.001,123
"124","Mongolia",9e-04,124,0.002,114,9e-04,124
"125","Austria",9e-04,125,0.0012,131,9e-04,125
"126","New Zealand",9e-04,126,0.0015,123,9e-04,126
"127","Czech Republic",9e-04,127,0.0012,133,9e-04,128
"128","Cuba",9e-04,128,0.0011,138,9e-04,127
"129","Netherlands",8e-04,129,0.0011,134,8e-04,129
"130","Switzerland",8e-04,130,0.0012,132,8e-04,130
"131","Greece",8e-04,131,0.0011,137,8e-04,131
"132","Oman",8e-04,132,0.0014,126,8e-04,132
"133","Belgium",8e-04,133,0.001,142,8e-04,133
"134","Guyana",8e-04,134,0.0014,128,8e-04,134
"135","Slovakia",8e-04,135,0.0011,135,8e-04,135
"136","Singapore",8e-04,136,0.0017,122,8e-04,136
"137","Portugal",8e-04,137,0.0011,139,8e-04,137
"138","Sweden",7e-04,138,0.001,143,7e-04,138
"139","Turkmenistan",7e-04,139,0.0018,117,7e-04,139
"140","Albania",7e-04,140,0.001,141,7e-04,140
"141","Croatia",7e-04,141,0.0011,136,7e-04,141
"142","Denmark",7e-04,142,9e-04,145,7e-04,142
"143","Qatar",6e-04,143,0.001,140,6e-04,143
"144","Finland",6e-04,144,8e-04,147,6e-04,144
"145","Norway",6e-04,145,8e-04,148,6e-04,145
"146","Ireland",6e-04,146,9e-04,146,6e-04,146
"147","Belarus (Byelorussia)",6e-04,147,6e-04,153,6e-04,147
"148","Equatorial Guinea",5e-04,148,0.0012,130,5e-04,148
"149","Bolivia",5e-04,149,0.001,144,5e-04,149
"150","Costa Rica",4e-04,150,8e-04,149,4e-04,150
"151","Uruguay",4e-04,151,7e-04,150,4e-04,151
"152","Macedonia (Former Yugoslav Republic of)",3e-04,152,5e-04,154,3e-04,152
"153","Moldova",3e-04,153,5e-04,156,3e-04,153
"154","Armenia",3e-04,154,5e-04,155,3e-04,154
"155","Lithuania",3e-04,155,5e-04,157,3e-04,155
"156","Jamaica",3e-04,156,6e-04,152,3e-04,156
"157","Latvia",3e-04,157,4e-04,159,3e-04,157
"158","Solomon Islands",2e-04,158,7e-04,151,2e-04,158
"159","Estonia",2e-04,159,4e-04,161,2e-04,159
"160","Slovenia",2e-04,160,4e-04,160,2e-04,160
"161","Maldives",2e-04,161,4e-04,158,2e-04,161
"162","Kosovo",2e-04,162,4e-04,162,2e-04,162
"163","Montenegro",1e-04,163,2e-04,164,1e-04,163
"164","Luxembourg",1e-04,164,2e-04,165,1e-04,164
"165","Surinam",1e-04,165,2e-04,163,1e-04,165
"166","Malta",0,166,1e-04,166,0,166
